"id","age","learn_freq","totalmin","nbr_freq","nbr_id","mode"
120107,13,0,230,5,120108,"Horizontal Extrafamilial"
120107,13,0,230,1,141,"Oblique Extrafamilial"
120107,13,1,230,7,120147,"Oblique Intrafamilial"
120107,13,0,230,2,120,"Horizontal Extrafamilial"
120107,13,0,230,4,120128,"Oblique Extrafamilial"
120107,13,0,230,11,120124,"Oblique Extrafamilial"
120107,13,0,230,1,120149,"Horizontal Extrafamilial"
120107,13,0,230,4,120104,"Horizontal Extrafamilial"
120107,13,0,230,6,120136,"Oblique Intrafamilial"
120107,13,1,230,7,120134,"Vertical"
120107,13,4,230,8,120135,"Vertical"
120107,13,0,230,2,120106,"Horizontal Extrafamilial"
120107,13,2,230,6,120137,"Oblique Intrafamilial"
120107,13,0,230,1,120158,"Horizontal Extrafamilial"
120108,15,0,229,3,120128,"Oblique Extrafamilial"
120108,15,0,229,1,240,"Oblique Extrafamilial"
120108,15,0,229,2,230,"Horizontal Extrafamilial"
120108,15,2,229,3,241,"Oblique Extrafamilial"
120108,15,0,229,5,120140,"Horizontal Extrafamilial"
120108,15,1,229,6,120134,"Oblique Extrafamilial"
120108,15,1,229,7,120120,"Oblique Extrafamilial"
120108,15,0,229,2,120147,"Oblique Extrafamilial"
120108,15,1,229,9,120104,"Horizontal Extrafamilial"
120108,15,0,229,4,120135,"Oblique Extrafamilial"
120108,15,0,229,1,120109,"Horizontal Extrafamilial"
120108,15,0,229,1,120157,"Horizontal Extrafamilial"
120108,15,0,229,1,120149,"Horizontal Extrafamilial"
120109,13,0,276,4,120107,"Horizontal Extrafamilial"
120109,13,6,276,20,120145,"Oblique Intrafamilial"
120109,13,0,276,2,111,"Horizontal Extrafamilial"
120109,13,0,276,1,120158,"Horizontal Extrafamilial"
120109,13,3,276,22,120137,"Vertical"
120109,13,1,276,13,120149,"Horizontal Extrafamilial"
120109,13,0,276,1,110,"Horizontal Extrafamilial"
120109,13,0,276,8,120138,"Oblique Intrafamilial"
120109,13,4,276,4,240,"Oblique Extrafamilial"
120109,13,1,276,2,120131,"Oblique Intrafamilial"
120109,13,0,276,3,230,"Horizontal Extrafamilial"
120109,13,0,276,1,120128,"Oblique Intrafamilial"
120109,13,1,276,1,120129,"Oblique Intrafamilial"
120109,13,0,276,1,120105,"Horizontal Intrafamilial"
120109,13,2,276,2,120133,"Oblique Intrafamilial"
120109,13,0,276,1,120157,"Horizontal Extrafamilial"
120110,16,0,276,21,141,"Oblique Extrafamilial"
120110,16,0,276,9,120120,"Oblique Intrafamilial"
120110,16,0,276,5,121,"Horizontal Extrafamilial"
120110,16,0,276,3,120139,"Oblique Extrafamilial"
120110,16,5,276,10,240,"Oblique Extrafamilial"
120110,16,2,276,9,120140,"Horizontal Extrafamilial"
120110,16,0,276,5,120154,"Oblique Intrafamilial"
120110,16,0,276,1,120158,"Horizontal Extrafamilial"
120110,16,0,276,16,120136,"Oblique Intrafamilial"
120110,16,0,276,1,120107,"Horizontal Extrafamilial"
120110,16,0,276,2,120153,"Oblique Extrafamilial"
120110,16,0,276,5,220,"Horizontal Extrafamilial"
120110,16,0,276,3,120103,"Horizontal Extrafamilial"
120110,16,0,276,2,120132,"Oblique Extrafamilial"
120110,16,0,276,3,120142,"Horizontal Extrafamilial"
120110,16,0,276,3,120109,"Horizontal Intrafamilial"
120110,16,0,276,1,120157,"Horizontal Extrafamilial"
120110,16,0,276,1,120131,"Oblique Intrafamilial"
120110,16,0,276,5,120134,"Oblique Intrafamilial"
120110,16,0,276,5,221,"Horizontal Extrafamilial"
120110,16,4,276,4,241,"Oblique Extrafamilial"
120110,16,0,276,1,120145,"Oblique Extrafamilial"
120110,16,1,276,1,120143,"Oblique Intrafamilial"
120110,16,0,276,1,120111,"Horizontal Intrafamilial"
120110,16,0,276,4,120104,"Horizontal Intrafamilial"
120110,16,0,276,6,120106,"Horizontal Intrafamilial"
120110,16,0,276,1,120122,"Horizontal Intrafamilial"
120110,16,0,276,1,120137,"Oblique Intrafamilial"
120111,16,1,184,11,120120,"Oblique Intrafamilial"
120111,16,1,184,9,120140,"Horizontal Extrafamilial"
120111,16,1,184,9,120109,"Horizontal Intrafamilial"
120111,16,0,184,1,120156,"Horizontal Extrafamilial"
120111,16,0,184,2,120126,"Oblique Extrafamilial"
120111,16,0,184,2,120125,"Oblique Intrafamilial"
120111,16,0,184,16,120121,"Oblique Extrafamilial"
120111,16,0,184,1,120145,"Oblique Extrafamilial"
120203,6,0,180,10,120241,"Horizontal Intrafamilial"
120203,6,0,180,8,120208,"Horizontal Extrafamilial"
120203,6,0,180,11,120204,"Horizontal Intrafamilial"
120203,6,2,180,8,120207,"Horizontal Intrafamilial"
120203,6,0,180,3,120254,"Horizontal Extrafamilial"
120203,6,0,180,13,120225,"Horizontal Extrafamilial"
120203,6,1,180,3,120206,"Horizontal Extrafamilial"
120203,6,0,180,2,130,"Horizontal Extrafamilial"
120203,6,0,180,1,140,"Oblique Extrafamilial"
120203,6,1,180,9,120244,"Horizontal Intrafamilial"
120203,6,0,180,6,120249,"Horizontal Extrafamilial"
120203,6,0,180,9,120229,"Horizontal Extrafamilial"
120203,6,0,180,4,120224,"Horizontal Extrafamilial"
120203,6,0,180,1,120205,"Horizontal Extrafamilial"
120203,6,1,180,3,120222,"Oblique Intrafamilial"
120203,6,0,180,2,120227,"Oblique Intrafamilial"
120203,6,0,180,1,120261,"Horizontal Extrafamilial"
120203,6,0,180,4,120223,"Oblique Extrafamilial"
120203,6,1,180,1,120220,"Oblique Extrafamilial"
120204,6,0,186,6,120238,"Oblique Intrafamilial"
120204,6,1,186,9,120240,"Horizontal Intrafamilial"
120204,6,0,186,6,120205,"Horizontal Extrafamilial"
120204,6,0,186,14,120244,"Horizontal Intrafamilial"
120204,6,1,186,10,120236,"Vertical"
120204,6,3,186,12,120237,"Vertical"
120204,6,0,186,14,120207,"Horizontal Intrafamilial"
120204,6,0,186,1,120246,"Oblique Intrafamilial"
120204,6,0,186,3,120243,"Oblique Intrafamilial"
120204,6,0,186,1,120251,"Oblique Extrafamilial"
120204,6,0,186,2,120248,"Oblique Extrafamilial"
120204,6,0,186,4,120222,"Oblique Intrafamilial"
120204,6,0,186,1,120231,"Oblique Intrafamilial"
120204,6,0,186,16,120249,"Horizontal Extrafamilial"
120204,6,2,186,12,120208,"Horizontal Extrafamilial"
120204,6,0,186,10,120224,"Horizontal Extrafamilial"
120204,6,1,186,1,231,"Horizontal Extrafamilial"
120204,6,0,186,5,120261,"Horizontal Extrafamilial"
120204,6,1,186,3,120206,"Horizontal Extrafamilial"
120204,6,0,186,3,120254,"Horizontal Extrafamilial"
120204,6,0,186,1,120259,"Oblique Extrafamilial"
120204,6,0,186,2,140,"Oblique Extrafamilial"
